step,alpha,method,split,loss_mean,loss_std,loss_ci95_low,loss_ci95_high,accuracy,accuracy_std,accuracy_ci95_low,accuracy_ci95_high
0,0.0,alpha=0,test,1.4927949905395508,0.0,1.4927949905395508,1.4927949905395508,0.442,0.0,0.442,0.442
0,0.0,alpha=0,train,1.346571683883667,0.0,1.346571683883667,1.346571683883667,0.525390625,0.0,0.525390625,0.525390625
256,0.0,alpha=0,test,0.9927981495857239,0.0,0.9927981495857239,0.9927981495857239,0.652,0.0,0.652,0.652
256,0.0,alpha=0,train,0.7773038148880005,0.0,0.7773038148880005,0.7773038148880005,0.748046875,0.0,0.748046875,0.748046875
512,0.0,alpha=0,test,0.7283284366130829,0.0,0.7283284366130829,0.7283284366130829,0.763,0.0,0.763,0.763
512,0.0,alpha=0,train,0.5130126476287842,0.0,0.5130126476287842,0.5130126476287842,0.8408203125,0.0,0.8408203125,0.8408203125
768,0.0,alpha=0,test,0.7502681314945221,0.0,0.7502681314945221,0.7502681314945221,0.766,0.0,0.766,0.766
768,0.0,alpha=0,train,0.4963912069797516,0.0,0.4963912069797516,0.4963912069797516,0.8369140625,0.0,0.8369140625,0.8369140625
1024,0.0,alpha=0,test,0.5329748243093491,0.0,0.5329748243093491,0.5329748243093491,0.838,0.0,0.838,0.838
1024,0.0,alpha=0,train,0.2659943699836731,0.0,0.2659943699836731,0.2659943699836731,0.9287109375,0.0,0.9287109375,0.9287109375
1280,0.0,alpha=0,test,0.5225273668766022,0.0,0.5225273668766022,0.5225273668766022,0.841,0.0,0.841,0.841
1280,0.0,alpha=0,train,0.25793686509132385,0.0,0.25793686509132385,0.25793686509132385,0.9384765625,0.0,0.9384765625,0.9384765625
1536,0.0,alpha=0,test,0.5068731755018234,0.0,0.5068731755018234,0.5068731755018234,0.849,0.0,0.849,0.849
1536,0.0,alpha=0,train,0.16941575706005096,0.0,0.16941575706005096,0.16941575706005096,0.955078125,0.0,0.955078125,0.955078125
1792,0.0,alpha=0,test,0.4857161343097687,0.0,0.4857161343097687,0.4857161343097687,0.856,0.0,0.856,0.856
1792,0.0,alpha=0,train,0.16854329407215118,0.0,0.16854329407215118,0.16854329407215118,0.9609375,0.0,0.9609375,0.9609375
2048,0.0,alpha=0,test,0.510074257850647,0.0,0.510074257850647,0.510074257850647,0.857,0.0,0.857,0.857
2048,0.0,alpha=0,train,0.11412089318037033,0.0,0.11412089318037033,0.11412089318037033,0.97265625,0.0,0.97265625,0.97265625
0,0.1,alpha=0.1,test,1.4927949905395508,0.0,1.4927949905395508,1.4927949905395508,0.442,0.0,0.442,0.442
0,0.1,alpha=0.1,train,1.346571683883667,0.0,1.346571683883667,1.346571683883667,0.525390625,0.0,0.525390625,0.525390625
256,0.1,alpha=0.1,test,1.048950582742691,0.17319138933436065,0.808919563293457,1.288981602191925,0.6255,0.07707463914933375,0.5186799999999998,0.7323200000000001
256,0.1,alpha=0.1,train,0.8699698746204376,0.17490179274062975,0.6275683569908143,1.112371392250061,0.70361328125,0.09322208541033586,0.5744140625,0.8328125
512,0.1,alpha=0.1,test,0.8995473980903625,0.003763797865719859,0.8943310403823852,0.9047637557983399,0.672,0.005656854249492385,0.6641600000000001,0.67984
512,0.1,alpha=0.1,train,0.6596246957778931,0.008440243589094617,0.6479271149635315,0.6713222765922546,0.783203125,0.0013810679320049757,0.7812890625,0.7851171875
768,0.1,alpha=0.1,test,0.664814904332161,0.09103662380107622,0.5386445808410645,0.7909852278232574,0.7885,0.03181980515339467,0.7444,0.8326
768,0.1,alpha=0.1,train,0.41393789649009705,0.08320546539323678,0.29862100481987,0.5292547881603241,0.86865234375,0.05455218331419654,0.793046875,0.9442578125
1024,0.1,alpha=0.1,test,0.5510592088103294,0.019864030974139038,0.5235290664434433,0.5785893511772155,0.827,0.01131370849898477,0.8113199999999999,0.84268
1024,0.1,alpha=0.1,train,0.3014654964208603,0.05604513005557368,0.22379090905189514,0.37914008378982544,0.923828125,0.011048543456039806,0.908515625,0.939140625
1280,0.1,alpha=0.1,test,0.5074603483080864,0.012293740485157786,0.49042209327220915,0.5244986033439636,0.8514999999999999,0.0035355339059327407,0.8465999999999999,0.8563999999999999
1280,0.1,alpha=0.1,train,0.20862998813390732,0.005199351136137293,0.2014240550994873,0.21583592116832734,0.94091796875,0.0020716018980074633,0.938046875,0.9437890625
1536,0.1,alpha=0.1,test,0.4961119592189789,0.020222352943466533,0.46808520793914793,0.5241387104988098,0.8585,0.004949747468305837,0.8516400000000001,0.86536
1536,0.1,alpha=0.1,train,0.1719435676932335,0.01135247491736399,0.15620984017848968,0.1876772952079773,0.9541015625,0.0027621358640099515,0.9502734375,0.9579296875
1792,0.1,alpha=0.1,test,0.5027714595198631,0.0006152280844256479,0.5019187968969345,0.5036241221427917,0.8545,0.0007071067811865482,0.8535200000000001,0.85548
1792,0.1,alpha=0.1,train,0.13912072777748108,0.0017112041963908086,0.13674911975860596,0.1414923357963562,0.962890625,0.0,0.962890625,0.962890625
2048,0.1,alpha=0.1,test,0.48264987021684647,0.01405375073212421,0.46317236542701723,0.5021273750066757,0.857,0.0014142135623730963,0.85504,0.85896
2048,0.1,alpha=0.1,train,0.13617675751447678,0.02702003901568246,0.09872889399528503,0.17362462103366852,0.966796875,0.006905339660024878,0.9572265625,0.9763671875
0,0.5,alpha=0.5,test,1.4927949905395508,0.0,1.4927949905395508,1.4927949905395508,0.442,0.0,0.442,0.442
0,0.5,alpha=0.5,train,1.346571683883667,0.0,1.346571683883667,1.346571683883667,0.525390625,0.0,0.525390625,0.525390625
256,0.5,alpha=0.5,test,0.9680858999490738,0.008772676856724294,0.9559275901317597,0.9802442097663879,0.65,0.005656854249492385,0.6421600000000001,0.65784
256,0.5,alpha=0.5,train,0.7758583426475525,0.010829717018571243,0.7608491206169128,0.7908675646781922,0.75439453125,0.003452669830012439,0.749609375,0.7591796875
512,0.5,alpha=0.5,test,0.9274535775184631,0.10640625182727118,0.7799820363521576,1.0749251186847686,0.681,0.05374011537017758,0.6065200000000001,0.75548
512,0.5,alpha=0.5,train,0.6874873638153076,0.10573076428618708,0.540952000617981,0.8340227270126342,0.76708984375,0.03521723226612688,0.71828125,0.8158984375
768,0.5,alpha=0.5,test,0.7604751884937286,0.19210731641453502,0.4942280316352844,1.026722345352173,0.7555000000000001,0.04879036790187182,0.68788,0.8231200000000001
768,0.5,alpha=0.5,train,0.4697715789079666,0.14433329464498174,0.26973583817481994,0.6698073196411133,0.8525390625,0.07457766832826869,0.7491796875,0.9558984375
1024,0.5,alpha=0.5,test,0.5535967946052551,0.026937989638343877,0.5162626457214355,0.5909309434890747,0.828,0.009899494936611674,0.8142799999999999,0.84172
1024,0.5,alpha=0.5,train,0.2813277840614319,0.007584072508444316,0.27081679582595825,0.2918387722969055,0.92236328125,0.008976941558032341,0.909921875,0.9348046875
1280,0.5,alpha=0.5,test,0.5433812886476517,0.019916430043550207,0.5157785248756409,0.5709840524196624,0.8354999999999999,0.013435028842544414,0.8168799999999999,0.8541199999999999
1280,0.5,alpha=0.5,train,0.24484871327877045,0.001988235431652915,0.24209315955638885,0.24760426700115204,0.92333984375,0.004833737762017415,0.916640625,0.9300390625
1536,0.5,alpha=0.5,test,0.5373840406537056,0.07105772159132073,0.4389030629396439,0.6358650183677673,0.845,0.02262741699796954,0.8136399999999999,0.87636
1536,0.5,alpha=0.5,train,0.22476931661367416,0.04163688218062434,0.16706354200839996,0.28247509121894837,0.92724609375,0.014501213286052243,0.9071484375,0.94734375
1792,0.5,alpha=0.5,test,0.5219051241874695,0.012183810967529247,0.5050192236900329,0.538791024684906,0.8514999999999999,0.0007071067811865482,0.8505199999999999,0.8524799999999999
1792,0.5,alpha=0.5,train,0.15439479798078537,0.00886128006900632,0.14211369037628174,0.166675905585289,0.95849609375,0.003452669830012439,0.9537109375,0.96328125
2048,0.5,alpha=0.5,test,0.517724372446537,0.059336767314138124,0.43548780858516695,0.5999609363079071,0.8514999999999999,0.017677669529663705,0.827,0.8759999999999999
2048,0.5,alpha=0.5,train,0.14564939588308334,0.008819596835829047,0.1334260582923889,0.15787273347377778,0.95703125,0.017953883116064683,0.9321484375,0.9819140625
0,1.0,alpha=1,test,1.4927949905395508,0.0,1.4927949905395508,1.4927949905395508,0.442,0.0,0.442,0.442
0,1.0,alpha=1,train,1.346571683883667,0.0,1.346571683883667,1.346571683883667,0.525390625,0.0,0.525390625,0.525390625
256,1.0,alpha=1,test,1.0389223098754883,0.008055780036978242,1.027757568359375,1.0500870513916016,0.6134999999999999,0.019091883092036802,0.5870399999999999,0.63996
256,1.0,alpha=1,train,0.8477936089038849,0.0042095007887225635,0.8419595384597778,0.853627679347992,0.70947265625,0.01588228121805722,0.6874609375,0.731484375
512,1.0,alpha=1,test,1.0397176444530487,0.07483472195733663,0.9360020112991333,1.143433277606964,0.6465000000000001,0.014849242404917511,0.62592,0.6670800000000001
512,1.0,alpha=1,train,0.8134803473949432,0.032633672599257584,0.7682523846626281,0.8587083101272583,0.7197265625,0.026240290708094537,0.683359375,0.75609375
768,1.0,alpha=1,test,0.7763938754796982,0.11866864559384899,0.6119275236129761,0.9408602273464203,0.7375,0.02616295090390228,0.70124,0.7737600000000001
768,1.0,alpha=1,train,0.4992988556623459,0.07912508147492733,0.3896370875835419,0.6089606237411499,0.8447265625,0.05386164934819405,0.7700781250000001,0.9193749999999999
1024,1.0,alpha=1,test,0.5944544523954391,0.03591356142379962,0.5446807956695556,0.6442281091213227,0.8055,0.01202081528017124,0.7888400000000001,0.8221599999999999
1024,1.0,alpha=1,train,0.3413687199354172,0.03301137158218796,0.2956172931194305,0.3871201467514038,0.8974609375,0.011048543456039806,0.8821484375,0.9127734375
1280,1.0,alpha=1,test,0.5087627992033958,0.03723049238908314,0.4571639692783356,0.5603616291284561,0.8434999999999999,0.013435028842544414,0.82488,0.8621199999999999
1280,1.0,alpha=1,train,0.2501538172364235,0.023785858448350496,0.21718829929828642,0.28311933517456056,0.93115234375,0.007595873626027366,0.920625,0.9416796875
1536,1.0,alpha=1,test,0.6600861847400665,0.15509551348566278,0.4451347696781158,0.8750375998020172,0.8085,0.05161879502661794,0.7369600000000001,0.8800399999999999
1536,1.0,alpha=1,train,0.3390300124883652,0.12343284105582342,0.16796082258224487,0.5100992023944855,0.884765625,0.04971844555217912,0.815859375,0.953671875
1792,1.0,alpha=1,test,0.4730948433279991,0.00525060170392654,0.4658178806304932,0.48037180602550505,0.857,0.0028284271247461927,0.85308,0.86092
1792,1.0,alpha=1,train,0.17101092636585236,0.0075888351023260464,0.1604933375120163,0.1815285152196884,0.95166015625,0.004833737762017415,0.9449609375,0.958359375
2048,1.0,alpha=1,test,0.5237313285470009,0.04804756535310111,0.45714080035686494,0.5903218567371369,0.8445,0.009192388155425127,0.83176,0.85724
2048,1.0,alpha=1,train,0.1690172627568245,0.0216795064737458,0.1389709997177124,0.19906352579593659,0.943359375,0.01242961138804478,0.9261328125,0.9605859375
