direction,eigenvalue,gradient_noise_variance,gamma_i
203,3.4304687090980224e-08,1.5739998333039872e-08,0.4588293806993625
204,5.2954678864125526e-08,3.5005113949612077e-10,0.006610391130768712
205,1.0014979778816269e-07,4.1858597628652064e-09,0.041795988162843384
206,1.1019941581480452e-07,3.6598872589141485e-09,0.03321149419761686
207,2.3919062641653e-07,2.8221773026376963e-08,0.1179886245928014
208,2.92591181505486e-07,1.2580346393449952e-09,0.004299632794371854
209,3.684454270569404e-07,1.0893328128011276e-08,0.029565648880554015
210,3.694337920023827e-07,8.681985374923725e-09,0.023500788403427182
211,5.505127660399012e-07,1.508664410694761e-08,0.02740471254730927
212,5.522859396478452e-07,1.3795520527360556e-08,0.024978945754362335
213,7.538061481682234e-07,5.761899941207032e-09,0.007643742300601633
214,7.944859703457041e-07,6.963041144568456e-08,0.08764209066572481
215,1.0092275033457554e-06,5.352236612363669e-08,0.05303300390268917
216,1.212523216054251e-06,1.37038988202247e-08,0.011301968192262273
217,1.421524189026968e-06,2.5662675164209932e-08,0.01805292893522692
218,1.6765224017945002e-06,6.7435729010760025e-09,0.004022357765012791
219,1.7658762772043701e-06,2.1002324297374672e-08,0.011893429097209628
220,2.072464212687919e-06,2.0540407749760874e-09,0.000991110371122917
221,2.57914257417724e-06,5.6280583755174595e-08,0.021821431788480478
222,2.9564378110080725e-06,1.778279154172851e-07,0.06014938476133552
223,3.115218305538292e-06,5.575144786086737e-08,0.017896481849041343
224,3.666526708911988e-06,1.3019755517016104e-07,0.03550977955613914
225,3.996729446953395e-06,1.5474917120190308e-07,0.03871895089617948
226,5.4309971346810926e-06,2.518498468950904e-07,0.04637267165670839
227,6.461283192038536e-06,3.5099913829965967e-08,0.005432344131459116
228,8.253793566836976e-06,7.871539748272923e-07,0.09536874995153846
229,9.753365702636074e-06,3.371418057436762e-07,0.03456671430381778
230,1.0428888344904408e-05,1.3718553300309704e-07,0.013154377385785935
231,1.146024078479968e-05,2.4599924990802497e-07,0.021465452125081587
232,1.2159566722402815e-05,3.328699425556115e-07,0.027375148321883144
233,1.3767409654974472e-05,1.6043187577706636e-06,0.11653018236375261
234,1.4676505088573322e-05,1.358187708413945e-06,0.0925416303280124
235,1.984318623726722e-05,5.402907885493112e-07,0.027228025887022035
236,2.1190495317569003e-05,3.3842714977532597e-07,0.015970705012012466
237,2.160387703042943e-05,2.218397216160366e-07,0.01026851436450835
238,2.2803720639785752e-05,2.4245411181802465e-07,0.010632217244190138
239,2.37807344092289e-05,1.6740748426615664e-06,0.07039626337241656
240,2.462303928041365e-05,8.753360457112253e-07,0.03554947201044794
241,2.829543882398866e-05,6.33980999528457e-07,0.022405766649251348
242,2.88584651571e-05,2.100564931991957e-07,0.007278851874335245
243,2.9583481591544114e-05,1.1410220000816332e-06,0.03856956445612449
244,3.55414958903566e-05,2.971239693174028e-07,0.00835991738316284
245,3.753324199351482e-05,6.620471187599e-07,0.017638953727319686
246,3.811491478700191e-05,1.0104601968843174e-06,0.026510886946254128
247,4.263727896614e-05,3.478444165387295e-07,0.008158222686184241
248,4.694306699093431e-05,2.0450449872469537e-07,0.00435643667603119
249,4.80691778648179e-05,4.2509446496054685e-07,0.008843389544876653
250,5.208069705986418e-05,7.261873816490965e-07,0.013943503498318775
251,5.61663146072533e-05,1.5010104242256536e-07,0.0026724388714509206
252,5.997004336677492e-05,1.1569053071608604e-06,0.01929138686936182
253,6.13717274973169e-05,2.960298374969861e-07,0.004823553932222752
254,6.866233889013529e-05,1.1693259707294916e-06,0.017030092327622245
255,7.291300426004454e-05,9.377389588024594e-08,0.0012861065982935078
256,8.085912850219756e-05,1.8498270982501071e-06,0.02287715849175685
257,8.14232844277285e-05,5.42483927809129e-07,0.00666251590834117
258,9.00839440873824e-05,2.1862242727803692e-07,0.0024268745056940533
259,9.231880540028214e-05,9.073164210800386e-07,0.009828078008007517
260,9.51606998569332e-05,2.90921772686369e-07,0.0030571630213286315
261,0.00010496633331058547,1.3898263623035368e-07,0.0013240686975233972
262,0.00011164160241605714,1.5379901587014036e-06,0.013776138333895844
263,0.00011641011224128306,1.4904919023866526e-06,0.01280380092149823
264,0.00012052118836436421,3.602220592980461e-07,0.002988869129044838
265,0.0001282122975680977,6.700015119080638e-07,0.005225719565256245
266,0.00013695938105229288,2.6105642534815178e-06,0.01906086485952189
267,0.00014320449554361403,4.899356749610076e-06,0.03421231108012206
268,0.00016451661940664053,1.3182680754626164e-06,0.008012978142981499
269,0.0001797209115466103,1.0109766657811697e-06,0.005625258947782349
270,0.00019089190755039454,2.5328815292483413e-06,0.0132686689642916
271,0.00020159251289442182,2.440573890110579e-06,0.012106470895517623
272,0.00022176805941853672,1.3274538714791094e-06,0.005985775746785259
273,0.00023243938630912453,4.143143172313684e-06,0.01782461758354351
274,0.00025879708118736744,5.257531463593288e-07,0.0020315265687972997
275,0.00026279338635504246,1.3325513975541848e-07,0.0005070718924995565
276,0.000277075101621449,5.067417035701827e-07,0.0018288965721016438
277,0.0003056880668736994,1.5769328713304299e-06,0.0051586340528692225
278,0.00032352632842957973,4.702187780344294e-07,0.0014534173472585846
279,0.0003383014991413802,1.141646951856362e-06,0.003374643490359628
280,0.00035368718090467155,1.0872459774199348e-06,0.003074032750180385
281,0.00039501639548689127,2.5482355826813365e-06,0.006450961559558609
282,0.00040196720510721207,1.0155823378519608e-06,0.0025265303361777644
283,0.00044302240712568164,6.2256679245552865e-06,0.014052715674015824
284,0.00046772576752118766,3.6638252991115834e-06,0.007833276576847169
285,0.00048508713371120393,4.948458832635567e-07,0.001020117518841806
286,0.0004893147270195186,1.5802149075854561e-06,0.003229444813996824
287,0.0005187414353713393,2.613684687526295e-06,0.005038511499771168
288,0.0005561506259255111,4.317777366086258e-06,0.007763683370671179
289,0.0005852507892996073,4.367227506581557e-06,0.007462147145171714
290,0.0006250281003303826,2.648307282499468e-07,0.00042371011496916753
291,0.0006304531125351787,1.8511596260148369e-06,0.0029362367941542108
292,0.0006522722542285919,1.270068731508212e-06,0.0019471451119904763
293,0.0006989440298639238,5.317779048516343e-06,0.0076083045584517724
294,0.0007558437064290047,5.477546634789234e-06,0.007246930269047272
295,0.0007626565056852996,1.129018458389206e-06,0.001480376093264562
296,0.0007683679577894509,5.060937690217463e-07,0.000658660689700997
297,0.0009765718132257462,6.2134919979953674e-06,0.006362555127893134
298,0.0010004243813455105,1.0199722434140064e-05,0.010195395698395568
299,0.0010113080497831106,1.4327516507176702e-05,0.014167311839601633
300,0.001258821808733046,1.8157788202591204e-06,0.0014424430905646839
301,0.001262771082110703,1.1187127250904375e-05,0.00885918866007389
302,0.0013020533369854093,4.725710022698217e-06,0.0036294289092944996
303,0.001523225218988955,1.125701158776017e-05,0.007390247645211679
304,0.00205207709223032,3.806938388179991e-05,0.018551634354255095
305,0.0053654504008591175,1.0755721110699478e-06,0.00020046259506894835
306,0.006777760572731495,7.632599047965397e-06,0.0011261240296202134
307,0.006990209221839905,5.461750171879086e-07,7.813428752339246e-05
308,0.007083424367010593,3.6701438480056387e-06,0.0005181312960858992
309,0.007275032345205545,2.1563054941778365e-06,0.00029639806283458017
310,0.007421054877340794,5.617398486465416e-06,0.0007569541769078406
311,0.007589075714349747,9.899677938795406e-06,0.001304464247217441
312,0.007900373078882694,1.0718566968412211e-05,0.0013567165577360403
313,0.008298923261463642,1.1799413770598423e-07,1.4218005636212397e-05
314,0.010318577289581299,3.1579954384150845e-06,0.00030604950176646185
315,0.01054087933152914,5.828815841567097e-06,0.0005529724473870364
316,0.010666923597455025,6.65799615232958e-06,0.0006241721046842487
317,0.010705221444368362,6.5663237064144095e-06,0.0006133757942829589
318,0.010744642466306686,1.8933427239993712e-06,0.00017621272461476142
319,0.011038089171051979,2.751172544200699e-07,2.4924355126753336e-05
320,0.011455065570771694,4.429920932134261e-06,0.0003867215691403354
321,0.012478485703468323,7.441309799503229e-06,0.0005963311555852454
322,0.014649291522800922,1.0844760057502802e-05,0.0007402924599202256
323,0.015100670047104359,1.3926575488516205e-06,9.22248843599275e-05
324,0.015829196199774742,1.7844891936765833e-06,0.0001127340372281176
325,0.0164252370595932,1.9945258884949726e-06,0.00012143056938895532
326,0.017560673877596855,3.1215988892680063e-06,0.00017776076880799015
327,0.01771201565861702,7.383628397928801e-07,4.1687115347239514e-05
328,0.01787913776934147,1.64137971370205e-05,0.0009180418736504348
329,0.018206147477030754,2.2462645336534972e-05,0.0012337945391727879
330,0.019649947062134743,3.30889263399348e-06,0.00016839193630041293
331,0.019773190841078758,8.70674411271127e-06,0.0004403307580799266
332,0.020057324320077896,2.90310835514399e-05,0.0014474056004757842
333,0.020227450877428055,1.1265483279920815e-05,0.0005569403355957246
334,0.0205431766808033,2.1805875205410635e-05,0.0010614655924070045
335,0.020731059834361076,5.881156316511949e-06,0.0002836881646911326
336,0.02100401744246483,1.2354567047609128e-05,0.000588200189866121
337,0.022496452555060387,3.24107054085549e-05,0.001440702943240906
338,0.02509939670562744,8.19779456678548e-06,0.0003266132115815948
339,0.026291631162166595,2.6403434500061088e-05,0.0010042524306386655
340,0.02670132927596569,2.006075617042012e-05,0.0007513017783903793
341,0.026840053498744965,5.203719803665368e-07,1.9387889088629026e-05
342,0.026994284242391586,2.247039400670204e-05,0.0008324130325120727
343,0.027807649224996567,2.840974392555296e-07,1.0216521251287637e-05
344,0.028724292293190956,5.700759762481998e-06,0.00019846475952458377
345,0.028865423053503036,6.308620230301479e-06,0.00021855284152975132
346,0.030537154525518417,2.9879672786210006e-06,9.784694497727683e-05
347,0.03172975033521652,4.8881835952733e-06,0.0001540567935023414
348,0.034808192402124405,1.1199867304694067e-05,0.00032175952072738257
349,0.03529767692089081,5.646866079580672e-06,0.00015997840572444568
350,0.035536788403987885,9.715937540318765e-06,0.00027340505365500216
351,0.035618819296360016,3.914549584090304e-06,0.00010990116071843914
352,0.03594658151268959,5.537153445637985e-06,0.000154038387313222
353,0.036118656396865845,3.2487190283183994e-05,0.0008994573310319216
354,0.03678674250841141,6.840192997710044e-06,0.00018594179672598116
355,0.03770119696855545,1.386118837120309e-05,0.00036765910596323943
356,0.03781820088624954,2.3083389903857847e-06,6.103777906645691e-05
357,0.037976138293743134,4.004876052008368e-06,0.00010545769612041366
358,0.03822148218750954,7.181683264824116e-06,0.00018789651404913416
359,0.038885265588760376,1.6995605615242755e-05,0.00043707058079488247
360,0.04212747514247894,5.3470884717639875e-06,0.0001269263931360626
361,0.046411920338869095,4.151304243501033e-06,8.94447851584455e-05
362,0.04754413291811943,7.83310532770007e-05,0.0016475440494814059
363,0.04864510893821716,1.2173140054564966e-05,0.00025024386459953745
364,0.04977412521839142,0.00011612013174688175,0.002332941688827022
365,0.05078614875674248,8.49245563038237e-05,0.0016721991799496104
366,0.05424587428569794,6.046217616519344e-05,0.0011145949247081165
367,0.05613816902041435,7.63385054434763e-05,0.0013598324771817228
368,0.05786323919892311,5.03459312218778e-05,0.0008700849091561882
369,0.06102210283279419,5.3689093243726393e-05,0.000879830270530649
370,0.06161404401063919,1.6808566288572613e-05,0.0002728041400053241
371,0.06188841536641121,0.00010973742671685194,0.0017731497254720452
372,0.06530137360095978,4.3737783417330685e-06,6.69783513048305e-05
373,0.06833527237176895,0.000282097772338223,0.004128142942103276
374,0.07487368583679199,0.0001247782011890436,0.0016665160769703839
375,0.07834009826183319,0.00033453459081320136,0.004270285565574591
376,0.08392518013715744,0.0001617012684131035,0.0019267312640716169
377,0.09296613931655884,0.0039211545549844564,0.042178309046829836
378,0.09704749286174774,0.0012000895319212019,0.012366002423481764
379,0.10038650035858154,0.000676000871230379,0.006733981848313243
380,0.11840332299470901,0.0020043626561429364,0.016928263544026576
381,0.12582871317863464,0.004689394222757672,0.03726807740694529
382,0.131965771317482,0.0008308396800047468,0.006295872571425515
383,0.15682657063007355,0.0012390086083994732,0.007900501830917912
384,0.16638408601284027,0.0015718084843797757,0.009446867918957559
385,0.18860892951488495,0.0032831105084468507,0.017406972813488922
