step,method,covariance_trace,relative_frobenius_error,mean_direction_variance,mean_projection,std_projection,ci95_low,ci95_high,mean_path_error_to_sgd
0,empirical_sgd,10.01605322707333,0.0,1.001605322707333,1.001605322707333,0.0,0.0,0.0,0.0
0,standard_fp,10.01605322707333,0.0,1.001605322707333,1.001605322707333,0.0,0.0,0.0,0.0
0,discrete_fp,10.01605322707333,0.0,1.001605322707333,1.001605322707333,0.0,0.0,0.0,0.0
10,empirical_sgd,0.7979993212293733,0.0,0.07979993212293733,0.07979993212293733,0.0,0.0,0.0,0.0
10,standard_fp,0.7370707442562904,0.05176300915403926,0.07370707442562904,0.07370707442562904,0.0,0.0,0.0,0.05176300915403926
10,discrete_fp,0.7989391753454013,0.006282288189191887,0.07989391753454013,0.07989391753454013,0.0,0.0,0.0,0.006282288189191887
20,empirical_sgd,0.3715804181142298,0.0,0.03715804181142298,0.03715804181142298,0.0,0.0,0.0,0.0
20,standard_fp,0.3450105089722645,0.04581845975679146,0.03450105089722645,0.03450105089722645,0.0,0.0,0.0,0.04581845975679146
20,discrete_fp,0.3727238762119079,0.007564575652860179,0.03727238762119079,0.03727238762119079,0.0,0.0,0.0,0.007564575652860179
30,empirical_sgd,0.26145856685105123,0.0,0.026145856685105124,0.026145856685105124,0.0,0.0,0.0,0.0
30,standard_fp,0.24081425128425113,0.056084283207451235,0.024081425128425114,0.024081425128425114,0.0,0.0,0.0,0.056084283207451235
30,discrete_fp,0.2616148372349199,0.007876469302404175,0.02616148372349199,0.02616148372349199,0.0,0.0,0.0,0.007876469302404175
40,empirical_sgd,0.22268612097670595,0.0,0.022268612097670594,0.022268612097670594,0.0,0.0,0.0,0.0
40,standard_fp,0.20488663313438443,0.05833227843112536,0.020488663313438443,0.020488663313438443,0.0,0.0,0.0,0.05833227843112536
40,discrete_fp,0.22315622400257698,0.007365687482220175,0.0223156224002577,0.0223156224002577,0.0,0.0,0.0,0.007365687482220175
50,empirical_sgd,0.20848896466077788,0.0,0.020848896466077786,0.020848896466077786,0.0,0.0,0.0,0.0
50,standard_fp,0.19147130320330302,0.06144136913017264,0.019147130320330302,0.019147130320330302,0.0,0.0,0.0,0.06144136913017264
50,discrete_fp,0.20860715655282563,0.0069758170689229295,0.020860715655282563,0.020860715655282563,0.0,0.0,0.0,0.0069758170689229295
60,empirical_sgd,0.20327764861205327,0.0,0.020327764861205327,0.020327764861205327,0.0,0.0,0.0,0.0
60,standard_fp,0.18632373723842074,0.06438750544347874,0.018632373723842074,0.018632373723842074,0.0,0.0,0.0,0.06438750544347874
60,discrete_fp,0.20292455950890628,0.009855831633634111,0.020292455950890628,0.020292455950890628,0.0,0.0,0.0,0.009855831633634111
70,empirical_sgd,0.20058264185102825,0.0,0.020058264185102825,0.020058264185102825,0.0,0.0,0.0,0.0
70,standard_fp,0.18432961194102604,0.06298582364744339,0.018432961194102603,0.018432961194102603,0.0,0.0,0.0,0.06298582364744339
70,discrete_fp,0.20067837798643592,0.009752643622479863,0.020067837798643594,0.020067837798643594,0.0,0.0,0.0,0.009752643622479863
80,empirical_sgd,0.19908968454947104,0.0,0.019908968454947103,0.019908968454947103,0.0,0.0,0.0,0.0
80,standard_fp,0.18355449507350094,0.061446361263727524,0.018355449507350095,0.018355449507350095,0.0,0.0,0.0,0.061446361263727524
80,discrete_fp,0.19978649748733687,0.011178563267458884,0.019978649748733687,0.019978649748733687,0.0,0.0,0.0,0.011178563267458884
90,empirical_sgd,0.19884307492699937,0.0,0.019884307492699937,0.019884307492699937,0.0,0.0,0.0,0.0
90,standard_fp,0.18325284810744685,0.0626198732300339,0.018325284810744684,0.018325284810744684,0.0,0.0,0.0,0.0626198732300339
90,discrete_fp,0.19943175345491168,0.014199735509507828,0.019943175345491167,0.019943175345491167,0.0,0.0,0.0,0.014199735509507828
100,empirical_sgd,0.1993699782726427,0.0,0.01993699782726427,0.01993699782726427,0.0,0.0,0.0,0.0
100,standard_fp,0.18313540885324953,0.06397537158430287,0.018313540885324952,0.018313540885324952,0.0,0.0,0.0,0.06397537158430287
100,discrete_fp,0.19929056222113756,0.010878681061241928,0.019929056222113755,0.019929056222113755,0.0,0.0,0.0,0.010878681061241928
110,empirical_sgd,0.19931013719452087,0.0,0.019931013719452086,0.019931013719452086,0.0,0.0,0.0,0.0
110,standard_fp,0.18308967981675736,0.0635412464949388,0.018308967981675736,0.018308967981675736,0.0,0.0,0.0,0.0635412464949388
110,discrete_fp,0.1992343528671544,0.008639612245764943,0.01992343528671544,0.01992343528671544,0.0,0.0,0.0,0.008639612245764943
120,empirical_sgd,0.19907901241878936,0.0,0.019907901241878936,0.019907901241878936,0.0,0.0,0.0,0.0
120,standard_fp,0.1830718727016974,0.0633191701665059,0.01830718727016974,0.01830718727016974,0.0,0.0,0.0,0.0633191701665059
120,discrete_fp,0.19921197335208604,0.010731180109043302,0.019921197335208606,0.019921197335208606,0.0,0.0,0.0,0.010731180109043302
130,empirical_sgd,0.19953316496954804,0.0,0.019953316496954802,0.019953316496954802,0.0,0.0,0.0,0.0
130,standard_fp,0.18306493839401097,0.06477338622169952,0.018306493839401097,0.018306493839401097,0.0,0.0,0.0,0.06477338622169952
130,discrete_fp,0.19920306272133462,0.009286409981871989,0.01992030627213346,0.01992030627213346,0.0,0.0,0.0,0.009286409981871989
140,empirical_sgd,0.1992227557765309,0.0,0.019922275577653088,0.019922275577653088,0.0,0.0,0.0,0.0
140,standard_fp,0.18306223807244232,0.06345980693298507,0.018306223807244233,0.018306223807244233,0.0,0.0,0.0,0.06345980693298507
140,discrete_fp,0.19919951481454684,0.009603938378835384,0.019919951481454683,0.019919951481454683,0.0,0.0,0.0,0.009603938378835384
150,empirical_sgd,0.19860360454664877,0.0,0.019860360454664876,0.019860360454664876,0.0,0.0,0.0,0.0
150,standard_fp,0.18306118652502062,0.0633316229922912,0.018306118652502062,0.018306118652502062,0.0,0.0,0.0,0.0633316229922912
150,discrete_fp,0.19919810215264647,0.0166716642561583,0.019919810215264646,0.019919810215264646,0.0,0.0,0.0,0.0166716642561583
160,empirical_sgd,0.19873709950135668,0.0,0.019873709950135668,0.019873709950135668,0.0,0.0,0.0,0.0
160,standard_fp,0.1830607770356872,0.06195053315327287,0.01830607770356872,0.01830607770356872,0.0,0.0,0.0,0.06195053315327287
160,discrete_fp,0.1991975396751776,0.009163239126713608,0.01991975396751776,0.01991975396751776,0.0,0.0,0.0,0.009163239126713608
170,empirical_sgd,0.19975993009661044,0.0,0.019975993009661044,0.019975993009661044,0.0,0.0,0.0,0.0
170,standard_fp,0.18306061757396555,0.06563331060727771,0.018306061757396554,0.018306061757396554,0.0,0.0,0.0,0.06563331060727771
170,discrete_fp,0.19919731571419763,0.012598529358412833,0.019919731571419762,0.019919731571419762,0.0,0.0,0.0,0.012598529358412833
180,empirical_sgd,0.19958809589761348,0.0,0.01995880958976135,0.01995880958976135,0.0,0.0,0.0,0.0
180,standard_fp,0.18306055547700437,0.06488893073459183,0.018306055547700435,0.018306055547700435,0.0,0.0,0.0,0.06488893073459183
180,discrete_fp,0.19919722653989672,0.010344436662848865,0.019919722653989672,0.019919722653989672,0.0,0.0,0.0,0.010344436662848865
190,empirical_sgd,0.20054882810500693,0.0,0.020054882810500694,0.020054882810500694,0.0,0.0,0.0,0.0
190,standard_fp,0.18306053129544725,0.06821183723705208,0.018306053129544725,0.018306053129544725,0.0,0.0,0.0,0.06821183723705208
190,discrete_fp,0.19919719103345795,0.012573877160286654,0.019919719103345796,0.019919719103345796,0.0,0.0,0.0,0.012573877160286654
200,empirical_sgd,0.19954342618610618,0.0,0.019954342618610618,0.019954342618610618,0.0,0.0,0.0,0.0
200,standard_fp,0.18306052187875918,0.06487792791666433,0.01830605218787592,0.01830605218787592,0.0,0.0,0.0,0.06487792791666433
200,discrete_fp,0.19919717689589556,0.010075222671886387,0.019919717689589556,0.019919717689589556,0.0,0.0,0.0,0.010075222671886387
210,empirical_sgd,0.19922606797517708,0.0,0.019922606797517707,0.019922606797517707,0.0,0.0,0.0,0.0
210,standard_fp,0.1830605182117491,0.06420187766866099,0.01830605182117491,0.01830605182117491,0.0,0.0,0.0,0.06420187766866099
210,discrete_fp,0.19919717126675665,0.011535321687622445,0.019919717126675666,0.019919717126675666,0.0,0.0,0.0,0.011535321687622445
220,empirical_sgd,0.198740542748594,0.0,0.0198740542748594,0.0198740542748594,0.0,0.0,0.0,0.0
220,standard_fp,0.18306051678375626,0.0622052905626008,0.018306051678375627,0.018306051678375627,0.0,0.0,0.0,0.0622052905626008
220,discrete_fp,0.1991971690254081,0.011286461488291325,0.01991971690254081,0.01991971690254081,0.0,0.0,0.0,0.011286461488291325
230,empirical_sgd,0.1987938779219915,0.0,0.01987938779219915,0.01987938779219915,0.0,0.0,0.0,0.0
230,standard_fp,0.18306051622767286,0.06289133932565896,0.018306051622767286,0.018306051622767286,0.0,0.0,0.0,0.06289133932565896
230,discrete_fp,0.19919716813297264,0.012140651700276806,0.019919716813297263,0.019919716813297263,0.0,0.0,0.0,0.012140651700276806
240,empirical_sgd,0.19934491073229588,0.0,0.019934491073229588,0.019934491073229588,0.0,0.0,0.0,0.0
240,standard_fp,0.18306051601112505,0.0643205346801093,0.018306051601112504,0.018306051601112504,0.0,0.0,0.0,0.0643205346801093
240,discrete_fp,0.19919716777763252,0.009776924720276851,0.019919716777763254,0.019919716777763254,0.0,0.0,0.0,0.009776924720276851
250,empirical_sgd,0.1999504561627268,0.0,0.01999504561627268,0.01999504561627268,0.0,0.0,0.0,0.0
250,standard_fp,0.18306051592679776,0.06639934984702371,0.018306051592679777,0.018306051592679777,0.0,0.0,0.0,0.06639934984702371
250,discrete_fp,0.1991971676361471,0.012445625581098943,0.01991971676361471,0.01991971676361471,0.0,0.0,0.0,0.012445625581098943
260,empirical_sgd,0.19925943300917515,0.0,0.019925943300917515,0.019925943300917515,0.0,0.0,0.0,0.0
260,standard_fp,0.18306051589395939,0.06383652810634269,0.01830605158939594,0.01830605158939594,0.0,0.0,0.0,0.06383652810634269
260,discrete_fp,0.19919716757981198,0.009036675454147186,0.0199197167579812,0.0199197167579812,0.0,0.0,0.0,0.009036675454147186
270,empirical_sgd,0.19938373967949263,0.0,0.019938373967949265,0.019938373967949265,0.0,0.0,0.0,0.0
270,standard_fp,0.18306051588117164,0.06418381227746779,0.018306051588117163,0.018306051588117163,0.0,0.0,0.0,0.06418381227746779
270,discrete_fp,0.1991971675573811,0.00902775074987876,0.019919716755738108,0.019919716755738108,0.0,0.0,0.0,0.00902775074987876
280,empirical_sgd,0.19856165708247925,0.0,0.019856165708247924,0.019856165708247924,0.0,0.0,0.0,0.0
280,standard_fp,0.18306051587619182,0.062388661944363946,0.018306051587619183,0.018306051587619183,0.0,0.0,0.0,0.062388661944363946
280,discrete_fp,0.19919716754844982,0.014082373092057326,0.019919716754844982,0.019919716754844982,0.0,0.0,0.0,0.014082373092057326
290,empirical_sgd,0.19985508167566798,0.0,0.0199855081675668,0.0199855081675668,0.0,0.0,0.0,0.0
290,standard_fp,0.18306051587425262,0.06571128025764364,0.01830605158742526,0.01830605158742526,0.0,0.0,0.0,0.06571128025764364
290,discrete_fp,0.1991971675448936,0.010836791610485565,0.01991971675448936,0.01991971675448936,0.0,0.0,0.0,0.010836791610485565
300,empirical_sgd,0.19964462430525884,0.0,0.019964462430525885,0.019964462430525885,0.0,0.0,0.0,0.0
300,standard_fp,0.18306051587349745,0.06515998668899989,0.018306051587349745,0.018306051587349745,0.0,0.0,0.0,0.06515998668899989
300,discrete_fp,0.1991971675434777,0.013441617012240243,0.01991971675434777,0.01991971675434777,0.0,0.0,0.0,0.013441617012240243
310,empirical_sgd,0.20026677911389976,0.0,0.020026677911389977,0.020026677911389977,0.0,0.0,0.0,0.0
310,standard_fp,0.18306051587320338,0.067647735635241,0.01830605158732034,0.01830605158732034,0.0,0.0,0.0,0.067647735635241
310,discrete_fp,0.19919716754291386,0.015080009989651465,0.019919716754291387,0.019919716754291387,0.0,0.0,0.0,0.015080009989651465
320,empirical_sgd,0.20015880659234692,0.0,0.02001588065923469,0.02001588065923469,0.0,0.0,0.0,0.0
320,standard_fp,0.18306051587308889,0.06735400259336138,0.01830605158730889,0.01830605158730889,0.0,0.0,0.0,0.06735400259336138
320,discrete_fp,0.1991971675426894,0.016308836478795077,0.01991971675426894,0.01991971675426894,0.0,0.0,0.0,0.016308836478795077
330,empirical_sgd,0.19970290987547024,0.0,0.019970290987547025,0.019970290987547025,0.0,0.0,0.0,0.0
330,standard_fp,0.18306051587304428,0.0651616093562074,0.018306051587304428,0.018306051587304428,0.0,0.0,0.0,0.0651616093562074
330,discrete_fp,0.19919716754260003,0.0109618121252549,0.019919716754260002,0.019919716754260002,0.0,0.0,0.0,0.0109618121252549
340,empirical_sgd,0.1992989976471629,0.0,0.01992989976471629,0.01992989976471629,0.0,0.0,0.0,0.0
340,standard_fp,0.1830605158730269,0.0637387380356264,0.01830605158730269,0.01830605158730269,0.0,0.0,0.0,0.0637387380356264
340,discrete_fp,0.19919716754256445,0.01029317704684079,0.019919716754256446,0.019919716754256446,0.0,0.0,0.0,0.01029317704684079
350,empirical_sgd,0.1983645802300187,0.0,0.019836458023001872,0.019836458023001872,0.0,0.0,0.0,0.0
350,standard_fp,0.18306051587302014,0.061843410194241874,0.018306051587302013,0.018306051587302013,0.0,0.0,0.0,0.061843410194241874
350,discrete_fp,0.1991971675425503,0.01401313527623206,0.01991971675425503,0.01991971675425503,0.0,0.0,0.0,0.01401313527623206
360,empirical_sgd,0.19831748813439065,0.0,0.019831748813439066,0.019831748813439066,0.0,0.0,0.0,0.0
360,standard_fp,0.18306051587301753,0.06099902455629561,0.018306051587301753,0.018306051587301753,0.0,0.0,0.0,0.06099902455629561
360,discrete_fp,0.19919716754254463,0.012878737110667737,0.01991971675425446,0.01991971675425446,0.0,0.0,0.0,0.012878737110667737
370,empirical_sgd,0.2000633370925836,0.0,0.020006333709258358,0.020006333709258358,0.0,0.0,0.0,0.0
370,standard_fp,0.1830605158730165,0.06654656730865674,0.01830605158730165,0.01830605158730165,0.0,0.0,0.0,0.06654656730865674
370,discrete_fp,0.19919716754254246,0.012042726552860358,0.019919716754254246,0.019919716754254246,0.0,0.0,0.0,0.012042726552860358
380,empirical_sgd,0.1981077288684314,0.0,0.019810772886843138,0.019810772886843138,0.0,0.0,0.0,0.0
380,standard_fp,0.18306051587301608,0.05981648327779168,0.018306051587301607,0.018306051587301607,0.0,0.0,0.0,0.05981648327779168
380,discrete_fp,0.1991971675425415,0.010485556145101762,0.01991971675425415,0.01991971675425415,0.0,0.0,0.0,0.010485556145101762
390,empirical_sgd,0.1985890350320344,0.0,0.01985890350320344,0.01985890350320344,0.0,0.0,0.0,0.0
390,standard_fp,0.18306051587301597,0.06210081782521731,0.018306051587301597,0.018306051587301597,0.0,0.0,0.0,0.06210081782521731
390,discrete_fp,0.19919716754254116,0.012391033228294308,0.019919716754254115,0.019919716754254115,0.0,0.0,0.0,0.012391033228294308
400,empirical_sgd,0.19924830473557348,0.0,0.019924830473557347,0.019924830473557347,0.0,0.0,0.0,0.0
400,standard_fp,0.18306051587301592,0.06398003324031112,0.018306051587301593,0.018306051587301593,0.0,0.0,0.0,0.06398003324031112
400,discrete_fp,0.19919716754254105,0.010851996475372173,0.019919716754254104,0.019919716754254104,0.0,0.0,0.0,0.010851996475372173
410,empirical_sgd,0.19801980531456345,0.0,0.019801980531456344,0.019801980531456344,0.0,0.0,0.0,0.0
410,standard_fp,0.18306051587301592,0.060578984074677315,0.018306051587301593,0.018306051587301593,0.0,0.0,0.0,0.060578984074677315
410,discrete_fp,0.19919716754254102,0.014002098878025504,0.0199197167542541,0.0199197167542541,0.0,0.0,0.0,0.014002098878025504
420,empirical_sgd,0.19884330881519,0.0,0.019884330881519,0.019884330881519,0.0,0.0,0.0,0.0
420,standard_fp,0.18306051587301592,0.06295578519328023,0.018306051587301593,0.018306051587301593,0.0,0.0,0.0,0.06295578519328023
420,discrete_fp,0.19919716754254102,0.011966231047491739,0.0199197167542541,0.0199197167542541,0.0,0.0,0.0,0.011966231047491739
430,empirical_sgd,0.1990365890139816,0.0,0.019903658901398162,0.019903658901398162,0.0,0.0,0.0,0.0
430,standard_fp,0.18306051587301592,0.06390841018059594,0.018306051587301593,0.018306051587301593,0.0,0.0,0.0,0.06390841018059594
430,discrete_fp,0.19919716754254102,0.013957482257236148,0.0199197167542541,0.0199197167542541,0.0,0.0,0.0,0.013957482257236148
440,empirical_sgd,0.19916848334971365,0.0,0.019916848334971364,0.019916848334971364,0.0,0.0,0.0,0.0
440,standard_fp,0.18306051587301592,0.06344279036095923,0.018306051587301593,0.018306051587301593,0.0,0.0,0.0,0.06344279036095923
440,discrete_fp,0.19919716754254102,0.01070721991872323,0.0199197167542541,0.0199197167542541,0.0,0.0,0.0,0.01070721991872323
450,empirical_sgd,0.2005313855398792,0.0,0.02005313855398792,0.02005313855398792,0.0,0.0,0.0,0.0
450,standard_fp,0.18306051587301592,0.06928657626958244,0.018306051587301593,0.018306051587301593,0.0,0.0,0.0,0.06928657626958244
450,discrete_fp,0.19919716754254102,0.019297566604856105,0.0199197167542541,0.0199197167542541,0.0,0.0,0.0,0.019297566604856105
460,empirical_sgd,0.1995835638611736,0.0,0.01995835638611736,0.01995835638611736,0.0,0.0,0.0,0.0
460,standard_fp,0.18306051587301592,0.06539410150866493,0.018306051587301593,0.018306051587301593,0.0,0.0,0.0,0.06539410150866493
460,discrete_fp,0.19919716754254102,0.013621664567472585,0.0199197167542541,0.0199197167542541,0.0,0.0,0.0,0.013621664567472585
470,empirical_sgd,0.2000415202631772,0.0,0.02000415202631772,0.02000415202631772,0.0,0.0,0.0,0.0
470,standard_fp,0.18306051587301592,0.06620429640574951,0.018306051587301593,0.018306051587301593,0.0,0.0,0.0,0.06620429640574951
470,discrete_fp,0.19919716754254102,0.011747554706649286,0.0199197167542541,0.0199197167542541,0.0,0.0,0.0,0.011747554706649286
480,empirical_sgd,0.19894542995889242,0.0,0.01989454299588924,0.01989454299588924,0.0,0.0,0.0,0.0
480,standard_fp,0.18306051587301592,0.06341655365255498,0.018306051587301593,0.018306051587301593,0.0,0.0,0.0,0.06341655365255498
480,discrete_fp,0.19919716754254102,0.012483885587859369,0.0199197167542541,0.0199197167542541,0.0,0.0,0.0,0.012483885587859369
490,empirical_sgd,0.19929400165595218,0.0,0.019929400165595218,0.019929400165595218,0.0,0.0,0.0,0.0
490,standard_fp,0.18306051587301592,0.06433577077367296,0.018306051587301593,0.018306051587301593,0.0,0.0,0.0,0.06433577077367296
490,discrete_fp,0.19919716754254102,0.012044833845976197,0.0199197167542541,0.0199197167542541,0.0,0.0,0.0,0.012044833845976197
500,empirical_sgd,0.19953684192878438,0.0,0.019953684192878438,0.019953684192878438,0.0,0.0,0.0,0.0
