step,method,variance
0,flat_variance,0.0
0,sharp_variance,0.0
0,flat_mean_displacement_abs,0.0
0,pure_diffusion_prediction_flat,0.0
0,drift_induced_prediction_flat,0.0
2,flat_variance,1.5686534328778636e-05
2,sharp_variance,1.5871174467590407e-05
2,flat_mean_displacement_abs,0.019963024825789343
2,pure_diffusion_prediction_flat,1.6000000000000003e-05
2,drift_induced_prediction_flat,1.6032e-05
4,flat_variance,3.151982837218368e-05
4,sharp_variance,3.0502818448102284e-05
4,flat_mean_displacement_abs,0.03998304372485087
4,pure_diffusion_prediction_flat,3.2000000000000005e-05
4,drift_induced_prediction_flat,3.2448000000000005e-05
6,flat_variance,4.8385628078341416e-05
6,sharp_variance,4.433798254050803e-05
6,flat_mean_displacement_abs,0.05992113072086538
6,pure_diffusion_prediction_flat,4.8000000000000015e-05
6,drift_induced_prediction_flat,4.976000000000002e-05
8,flat_variance,6.721374781041336e-05
8,sharp_variance,5.664415153190506e-05
8,flat_mean_displacement_abs,0.07995300309254284
8,pure_diffusion_prediction_flat,6.400000000000002e-05
8,drift_induced_prediction_flat,6.848000000000002e-05
10,flat_variance,8.73254425995254e-05
10,sharp_variance,6.885283404984083e-05
10,flat_mean_displacement_abs,0.09990857597033184
10,pure_diffusion_prediction_flat,8.000000000000003e-05
10,drift_induced_prediction_flat,8.912000000000004e-05
12,flat_variance,0.00011088975071355995
12,sharp_variance,7.93785234925047e-05
12,flat_mean_displacement_abs,0.1198770877957978
12,pure_diffusion_prediction_flat,9.600000000000004e-05
12,drift_induced_prediction_flat,0.00011219200000000004
14,flat_variance,0.00013430090593629393
14,sharp_variance,8.879175378562283e-05
14,flat_mean_displacement_abs,0.1398620306201684
14,pure_diffusion_prediction_flat,0.00011200000000000005
14,drift_induced_prediction_flat,0.00013820800000000004
16,flat_variance,0.00016639042008566285
16,sharp_variance,9.779062366997582e-05
16,flat_mean_displacement_abs,0.15985812644894767
16,pure_diffusion_prediction_flat,0.00012800000000000005
16,drift_induced_prediction_flat,0.00016768000000000005
18,flat_variance,0.0001997063663730435
18,sharp_variance,0.00010532344385032017
18,flat_mean_displacement_abs,0.17981399971199588
18,pure_diffusion_prediction_flat,0.00014400000000000006
18,drift_induced_prediction_flat,0.00020112000000000005
20,flat_variance,0.00023775888569828172
20,sharp_variance,0.00011326606029516577
20,flat_mean_displacement_abs,0.19978273587342057
20,pure_diffusion_prediction_flat,0.00016000000000000007
20,drift_induced_prediction_flat,0.00023904000000000007
22,flat_variance,0.00027908087953685396
22,sharp_variance,0.00012004454055325148
22,flat_mean_displacement_abs,0.21976404473436573
22,pure_diffusion_prediction_flat,0.00017600000000000008
22,drift_induced_prediction_flat,0.0002819520000000001
24,flat_variance,0.0003243025229683594
24,sharp_variance,0.00012496232998618063
24,flat_mean_displacement_abs,0.239739382034394
24,pure_diffusion_prediction_flat,0.00019200000000000009
24,drift_induced_prediction_flat,0.00033036800000000015
26,flat_variance,0.0003748788922750112
26,sharp_variance,0.00013248596828404607
26,flat_mean_displacement_abs,0.25984652788444396
26,pure_diffusion_prediction_flat,0.0002080000000000001
26,drift_induced_prediction_flat,0.00038480000000000014
28,flat_variance,0.0004369929782549891
28,sharp_variance,0.00013808650881334727
28,flat_mean_displacement_abs,0.27974293514889476
28,pure_diffusion_prediction_flat,0.0002240000000000001
28,drift_induced_prediction_flat,0.0004457600000000002
30,flat_variance,0.000511123985287072
30,sharp_variance,0.00014272199906112607
30,flat_mean_displacement_abs,0.2998087025340303
30,pure_diffusion_prediction_flat,0.00024000000000000011
30,drift_induced_prediction_flat,0.0005137600000000003
32,flat_variance,0.0005901869179002745
32,sharp_variance,0.00014711799468240986
32,flat_mean_displacement_abs,0.31962711891145484
32,pure_diffusion_prediction_flat,0.0002560000000000001
32,drift_induced_prediction_flat,0.0005893120000000003
34,flat_variance,0.0006724993318543606
34,sharp_variance,0.00015081415317835293
34,flat_mean_displacement_abs,0.3393869108766206
34,pure_diffusion_prediction_flat,0.00027200000000000005
34,drift_induced_prediction_flat,0.0006729280000000003
36,flat_variance,0.0007565229796122238
36,sharp_variance,0.00015523220316386713
36,flat_mean_displacement_abs,0.35942580618175773
36,pure_diffusion_prediction_flat,0.000288
36,drift_induced_prediction_flat,0.0007651200000000002
38,flat_variance,0.0008667287831117435
38,sharp_variance,0.000158152283712275
38,flat_mean_displacement_abs,0.3795201277259581
38,pure_diffusion_prediction_flat,0.00030399999999999996
38,drift_induced_prediction_flat,0.0008664000000000002
40,flat_variance,0.0009582722242543603
40,sharp_variance,0.00016305651056243423
40,flat_mean_displacement_abs,0.3994988748141512
40,pure_diffusion_prediction_flat,0.0003199999999999999
40,drift_induced_prediction_flat,0.0009772800000000003
42,flat_variance,0.001072827923447211
42,sharp_variance,0.0001651023415810062
42,flat_mean_displacement_abs,0.41944709264359625
42,pure_diffusion_prediction_flat,0.0003359999999999999
42,drift_induced_prediction_flat,0.0010982720000000004
44,flat_variance,0.0012105805739222552
44,sharp_variance,0.0001694016733196558
44,flat_mean_displacement_abs,0.43941801057207475
44,pure_diffusion_prediction_flat,0.00035199999999999983
44,drift_induced_prediction_flat,0.0012298880000000006
46,flat_variance,0.0013644785990982117
46,sharp_variance,0.00017123097433416898
46,flat_mean_displacement_abs,0.45975353733831337
46,pure_diffusion_prediction_flat,0.0003679999999999998
46,drift_induced_prediction_flat,0.0013726400000000007
48,flat_variance,0.0015248123578332966
48,sharp_variance,0.0001741887264000095
48,flat_mean_displacement_abs,0.4798936068771156
48,pure_diffusion_prediction_flat,0.00038399999999999974
48,drift_induced_prediction_flat,0.001527040000000001
50,flat_variance,0.0016910736610115593
50,sharp_variance,0.00017679281942490485
50,flat_mean_displacement_abs,0.49981782190404495
50,pure_diffusion_prediction_flat,0.0003999999999999997
50,drift_induced_prediction_flat,0.0016936000000000013
52,flat_variance,0.0018609492987070203
52,sharp_variance,0.00017822032408711675
52,flat_mean_displacement_abs,0.5198490758375894
52,pure_diffusion_prediction_flat,0.00041599999999999965
52,drift_induced_prediction_flat,0.0018728320000000014
54,flat_variance,0.0020442052394890175
54,sharp_variance,0.00018094877081468574
54,flat_mean_displacement_abs,0.5400478339941936
54,pure_diffusion_prediction_flat,0.0004319999999999996
54,drift_induced_prediction_flat,0.0020652480000000013
56,flat_variance,0.0022532132747969612
56,sharp_variance,0.0001820691178444946
56,flat_mean_displacement_abs,0.559792204462533
56,pure_diffusion_prediction_flat,0.00044799999999999956
56,drift_induced_prediction_flat,0.0022713600000000013
58,flat_variance,0.0024758382385655403
58,sharp_variance,0.00018412366365510162
58,flat_mean_displacement_abs,0.5797844589638603
58,pure_diffusion_prediction_flat,0.0004639999999999995
58,drift_induced_prediction_flat,0.0024916800000000018
60,flat_variance,0.002709255674298369
60,sharp_variance,0.0001869761220744803
60,flat_mean_displacement_abs,0.5999978227499841
60,pure_diffusion_prediction_flat,0.00047999999999999947
60,drift_induced_prediction_flat,0.002726720000000002
62,flat_variance,0.0029415457345120344
62,sharp_variance,0.0001877722369865185
62,flat_mean_displacement_abs,0.6200364726576992
62,pure_diffusion_prediction_flat,0.0004959999999999995
62,drift_induced_prediction_flat,0.002976992000000002
64,flat_variance,0.003227661970777485
64,sharp_variance,0.0001902380377026638
64,flat_mean_displacement_abs,0.6399819180868063
64,pure_diffusion_prediction_flat,0.0005119999999999994
64,drift_induced_prediction_flat,0.003243008000000002
66,flat_variance,0.00347506832825186
66,sharp_variance,0.00019307987048853366
66,flat_mean_displacement_abs,0.6600414972414552
66,pure_diffusion_prediction_flat,0.0005279999999999994
66,drift_induced_prediction_flat,0.0035252800000000026
68,flat_variance,0.0037920789081753127
68,sharp_variance,0.00019564264447428716
68,flat_mean_displacement_abs,0.679913282262496
68,pure_diffusion_prediction_flat,0.0005439999999999993
68,drift_induced_prediction_flat,0.003824320000000003
70,flat_variance,0.00410487419127009
70,sharp_variance,0.00019672291978187803
70,flat_mean_displacement_abs,0.7000349918571358
70,pure_diffusion_prediction_flat,0.0005599999999999993
70,drift_induced_prediction_flat,0.004140640000000003
72,flat_variance,0.00445978794457865
72,sharp_variance,0.00019721417509796277
72,flat_mean_displacement_abs,0.7201848575349833
72,pure_diffusion_prediction_flat,0.0005759999999999993
72,drift_induced_prediction_flat,0.004474752000000004
74,flat_variance,0.004872756204357618
74,sharp_variance,0.00019733803512206734
74,flat_mean_displacement_abs,0.7402876307319011
74,pure_diffusion_prediction_flat,0.0005919999999999992
74,drift_induced_prediction_flat,0.004827168000000005
76,flat_variance,0.005304132362572213
76,sharp_variance,0.0001986378256340864
76,flat_mean_displacement_abs,0.7603790265717083
76,pure_diffusion_prediction_flat,0.0006079999999999992
76,drift_induced_prediction_flat,0.005198400000000005
78,flat_variance,0.005707721668766492
78,sharp_variance,0.000199348749651273
78,flat_mean_displacement_abs,0.7800946718590414
78,pure_diffusion_prediction_flat,0.0006239999999999991
78,drift_induced_prediction_flat,0.005588960000000006
80,flat_variance,0.006080629789368857
80,sharp_variance,0.00019735527599636885
80,flat_mean_displacement_abs,0.8002432172121178
80,pure_diffusion_prediction_flat,0.0006399999999999991
80,drift_induced_prediction_flat,0.005999360000000006
82,flat_variance,0.006551108144314624
82,sharp_variance,0.00019733211419049082
82,flat_mean_displacement_abs,0.8203060820807857
82,pure_diffusion_prediction_flat,0.000655999999999999
82,drift_induced_prediction_flat,0.006430112000000007
84,flat_variance,0.0070523277617618825
84,sharp_variance,0.00019791888465336995
84,flat_mean_displacement_abs,0.8406447085058544
84,pure_diffusion_prediction_flat,0.000671999999999999
84,drift_induced_prediction_flat,0.006881728000000007
86,flat_variance,0.0075386899765411295
86,sharp_variance,0.00019665580832450158
86,flat_mean_displacement_abs,0.860771225870118
86,pure_diffusion_prediction_flat,0.0006879999999999989
86,drift_induced_prediction_flat,0.007354720000000007
88,flat_variance,0.007999471698160444
88,sharp_variance,0.0001956933451010628
88,flat_mean_displacement_abs,0.8804848660458942
88,pure_diffusion_prediction_flat,0.0007039999999999989
88,drift_induced_prediction_flat,0.007849600000000009
90,flat_variance,0.0085324201457509
90,sharp_variance,0.00019659222401614016
90,flat_mean_displacement_abs,0.9004007287379799
90,pure_diffusion_prediction_flat,0.0007199999999999989
90,drift_induced_prediction_flat,0.008366880000000009
92,flat_variance,0.009094847648127373
92,sharp_variance,0.00019803008026077434
92,flat_mean_displacement_abs,0.919917940578651
92,pure_diffusion_prediction_flat,0.0007359999999999988
92,drift_induced_prediction_flat,0.00890707200000001
94,flat_variance,0.009548841825669138
94,sharp_variance,0.00019775401582358774
94,flat_mean_displacement_abs,0.93963717808768
94,pure_diffusion_prediction_flat,0.0007519999999999988
94,drift_induced_prediction_flat,0.009470688000000012
96,flat_variance,0.010177961174527263
96,sharp_variance,0.0002008129214751302
96,flat_mean_displacement_abs,0.9598099446637723
96,pure_diffusion_prediction_flat,0.0007679999999999987
96,drift_induced_prediction_flat,0.010058240000000013
98,flat_variance,0.010773173499164337
98,sharp_variance,0.00019941227387847716
98,flat_mean_displacement_abs,0.9798243062906168
98,pure_diffusion_prediction_flat,0.0007839999999999987
98,drift_induced_prediction_flat,0.010670240000000011
100,flat_variance,0.011385054539087155
100,sharp_variance,0.00019876750743059407
100,flat_mean_displacement_abs,0.9995540244970652
100,pure_diffusion_prediction_flat,0.0007999999999999986
100,drift_induced_prediction_flat,0.011307200000000014
102,flat_variance,0.012071580022843986
102,sharp_variance,0.0001998709439798206
102,flat_mean_displacement_abs,1.019177316991546
102,pure_diffusion_prediction_flat,0.0008159999999999986
102,drift_induced_prediction_flat,0.011969632000000015
104,flat_variance,0.01288447193136206
104,sharp_variance,0.0002003355492384759
104,flat_mean_displacement_abs,1.0391073048304378
104,pure_diffusion_prediction_flat,0.0008319999999999985
104,drift_induced_prediction_flat,0.012658048000000015
106,flat_variance,0.01358383892647072
106,sharp_variance,0.00019843813760609405
106,flat_mean_displacement_abs,1.0590901518715126
106,pure_diffusion_prediction_flat,0.0008479999999999985
106,drift_induced_prediction_flat,0.013372960000000015
108,flat_variance,0.014258625795670412
108,sharp_variance,0.0002012554668544013
108,flat_mean_displacement_abs,1.078983829686793
108,pure_diffusion_prediction_flat,0.0008639999999999984
108,drift_induced_prediction_flat,0.014114880000000017
110,flat_variance,0.01500348204465241
110,sharp_variance,0.00020160574450681288
110,flat_mean_displacement_abs,1.0991601586086024
110,pure_diffusion_prediction_flat,0.0008799999999999984
110,drift_induced_prediction_flat,0.01488432000000002
112,flat_variance,0.01588893643654086
112,sharp_variance,0.00020174612336468434
112,flat_mean_displacement_abs,1.1195786944061732
112,pure_diffusion_prediction_flat,0.0008959999999999984
112,drift_induced_prediction_flat,0.01568179200000002
114,flat_variance,0.01686528519819079
114,sharp_variance,0.00020055129881995151
114,flat_mean_displacement_abs,1.1394836276527733
114,pure_diffusion_prediction_flat,0.0009119999999999983
114,drift_induced_prediction_flat,0.016507808000000023
116,flat_variance,0.01780851194711334
116,sharp_variance,0.0002010222901406539
116,flat_mean_displacement_abs,1.1598161726610898
116,pure_diffusion_prediction_flat,0.0009279999999999983
116,drift_induced_prediction_flat,0.017362880000000025
118,flat_variance,0.018703490999748367
118,sharp_variance,0.00020081769720782923
118,flat_mean_displacement_abs,1.1796529833112868
118,pure_diffusion_prediction_flat,0.0009439999999999982
118,drift_induced_prediction_flat,0.018247520000000024
120,flat_variance,0.019795232808462425
120,sharp_variance,0.0001997348579717075
120,flat_mean_displacement_abs,1.1992763609997594
120,pure_diffusion_prediction_flat,0.0009599999999999982
120,drift_induced_prediction_flat,0.01916224000000003
122,flat_variance,0.02083148272196415
122,sharp_variance,0.00020176078648451108
122,flat_mean_displacement_abs,1.219067808631716
122,pure_diffusion_prediction_flat,0.0009759999999999981
122,drift_induced_prediction_flat,0.02010755200000003
124,flat_variance,0.02172472410045708
124,sharp_variance,0.00020228262434848692
124,flat_mean_displacement_abs,1.239473389919594
124,pure_diffusion_prediction_flat,0.000991999999999998
124,drift_induced_prediction_flat,0.02108396800000003
126,flat_variance,0.02277882494355747
126,sharp_variance,0.0002015238649785251
126,flat_mean_displacement_abs,1.2594627463763512
126,pure_diffusion_prediction_flat,0.001007999999999998
126,drift_induced_prediction_flat,0.022092000000000032
128,flat_variance,0.023679623575853372
128,sharp_variance,0.00020270742457201155
128,flat_mean_displacement_abs,1.2794381833642225
128,pure_diffusion_prediction_flat,0.001023999999999998
128,drift_induced_prediction_flat,0.023132160000000034
130,flat_variance,0.024720981385367657
130,sharp_variance,0.0002055354238270059
130,flat_mean_displacement_abs,1.2994559013449092
130,pure_diffusion_prediction_flat,0.001039999999999998
130,drift_induced_prediction_flat,0.02420496000000004
132,flat_variance,0.025923808391495
132,sharp_variance,0.00020639873338556495
132,flat_mean_displacement_abs,1.3193449681954044
132,pure_diffusion_prediction_flat,0.001055999999999998
132,drift_induced_prediction_flat,0.02531091200000004
134,flat_variance,0.027043793068580443
134,sharp_variance,0.00020618357219421863
134,flat_mean_displacement_abs,1.339236242597797
134,pure_diffusion_prediction_flat,0.0010719999999999979
134,drift_induced_prediction_flat,0.02645052800000004
136,flat_variance,0.028027433456078773
136,sharp_variance,0.0002068520466340552
136,flat_mean_displacement_abs,1.359858013339877
136,pure_diffusion_prediction_flat,0.0010879999999999978
136,drift_induced_prediction_flat,0.027624320000000046
138,flat_variance,0.0291855532823827
138,sharp_variance,0.00020606465587597953
138,flat_mean_displacement_abs,1.3797551694291996
138,pure_diffusion_prediction_flat,0.0011039999999999978
138,drift_induced_prediction_flat,0.028832800000000047
140,flat_variance,0.03050030269535138
140,sharp_variance,0.000206478318535309
140,flat_mean_displacement_abs,1.3995480133921328
140,pure_diffusion_prediction_flat,0.0011199999999999977
140,drift_induced_prediction_flat,0.03007648000000005
142,flat_variance,0.031623469481143966
142,sharp_variance,0.00020850363891343902
142,flat_mean_displacement_abs,1.4196137788496448
142,pure_diffusion_prediction_flat,0.0011359999999999977
142,drift_induced_prediction_flat,0.03135587200000005
144,flat_variance,0.03278256045617651
144,sharp_variance,0.00020543788657407323
144,flat_mean_displacement_abs,1.4402383183292096
144,pure_diffusion_prediction_flat,0.0011519999999999976
144,drift_induced_prediction_flat,0.032671488000000054
146,flat_variance,0.03398514955296975
146,sharp_variance,0.00020561945315863424
146,flat_mean_displacement_abs,1.4603310514521768
146,pure_diffusion_prediction_flat,0.0011679999999999976
146,drift_induced_prediction_flat,0.03402384000000005
148,flat_variance,0.03568342551174041
148,sharp_variance,0.00020651524744362296
148,flat_mean_displacement_abs,1.480227044338151
148,pure_diffusion_prediction_flat,0.0011839999999999976
148,drift_induced_prediction_flat,0.03541344000000005
150,flat_variance,0.037115539808012306
150,sharp_variance,0.00020668503064496355
150,flat_mean_displacement_abs,1.4999030283217392
150,pure_diffusion_prediction_flat,0.0011999999999999975
150,drift_induced_prediction_flat,0.03684080000000006
152,flat_variance,0.038734470991434004
152,sharp_variance,0.00020538396132458638
152,flat_mean_displacement_abs,1.5195554011223809
152,pure_diffusion_prediction_flat,0.0012159999999999975
152,drift_induced_prediction_flat,0.03830643200000006
154,flat_variance,0.04030312618314068
154,sharp_variance,0.000207447077266399
154,flat_mean_displacement_abs,1.5404218956464022
154,pure_diffusion_prediction_flat,0.0012319999999999974
154,drift_induced_prediction_flat,0.039810848000000065
156,flat_variance,0.04170561579005168
156,sharp_variance,0.0002069557884232348
156,flat_mean_displacement_abs,1.5606040757117858
156,pure_diffusion_prediction_flat,0.0012479999999999974
156,drift_induced_prediction_flat,0.04135456000000007
158,flat_variance,0.043475118433969555
158,sharp_variance,0.00020948926120585083
158,flat_mean_displacement_abs,1.5811202068711059
158,pure_diffusion_prediction_flat,0.0012639999999999973
158,drift_induced_prediction_flat,0.042938080000000066
160,flat_variance,0.04526861864790613
160,sharp_variance,0.0002085093845296672
160,flat_mean_displacement_abs,1.6008935664413038
160,pure_diffusion_prediction_flat,0.0012799999999999973
160,drift_induced_prediction_flat,0.044561920000000074
162,flat_variance,0.04678179044464697
162,sharp_variance,0.00020910616936378255
162,flat_mean_displacement_abs,1.6208541909301502
162,pure_diffusion_prediction_flat,0.0012959999999999972
162,drift_induced_prediction_flat,0.04622659200000008
164,flat_variance,0.048540320107932605
164,sharp_variance,0.00020894170773224602
164,flat_mean_displacement_abs,1.640694693326618
164,pure_diffusion_prediction_flat,0.0013119999999999972
164,drift_induced_prediction_flat,0.047932608000000085
166,flat_variance,0.05050435479656529
166,sharp_variance,0.00020900132948463622
166,flat_mean_displacement_abs,1.6604694946072391
166,pure_diffusion_prediction_flat,0.0013279999999999972
166,drift_induced_prediction_flat,0.04968048000000008
168,flat_variance,0.052223587291111824
168,sharp_variance,0.00020726626325831654
168,flat_mean_displacement_abs,1.6804259822576186
168,pure_diffusion_prediction_flat,0.001343999999999997
168,drift_induced_prediction_flat,0.05147072000000009
170,flat_variance,0.05404971647087254
170,sharp_variance,0.0002072256948037608
170,flat_mean_displacement_abs,1.7008488459296782
170,pure_diffusion_prediction_flat,0.001359999999999997
170,drift_induced_prediction_flat,0.053303840000000095
172,flat_variance,0.05606779584036638
172,sharp_variance,0.00020686775850926227
172,flat_mean_displacement_abs,1.7205001167024154
172,pure_diffusion_prediction_flat,0.001375999999999997
172,drift_induced_prediction_flat,0.05518035200000009
174,flat_variance,0.057902210806003045
174,sharp_variance,0.00020702633321367315
174,flat_mean_displacement_abs,1.740680919541948
174,pure_diffusion_prediction_flat,0.001391999999999997
174,drift_induced_prediction_flat,0.0571007680000001
176,flat_variance,0.06006771881033318
176,sharp_variance,0.00020786188465636937
176,flat_mean_displacement_abs,1.7612376257586442
176,pure_diffusion_prediction_flat,0.001407999999999997
176,drift_induced_prediction_flat,0.05906560000000011
178,flat_variance,0.06229625402064454
178,sharp_variance,0.0002063003176314425
178,flat_mean_displacement_abs,1.7812578896461655
178,pure_diffusion_prediction_flat,0.0014239999999999969
178,drift_induced_prediction_flat,0.061075360000000106
180,flat_variance,0.06450248174515016
180,sharp_variance,0.00020581218735882126
180,flat_mean_displacement_abs,1.8015394232770297
180,pure_diffusion_prediction_flat,0.0014399999999999968
180,drift_induced_prediction_flat,0.06313056000000011
182,flat_variance,0.06664461961913817
182,sharp_variance,0.00020423432014406563
182,flat_mean_displacement_abs,1.8220939423567695
182,pure_diffusion_prediction_flat,0.0014559999999999968
182,drift_induced_prediction_flat,0.06523171200000012
184,flat_variance,0.06867874937690231
184,sharp_variance,0.00020450267449198436
184,flat_mean_displacement_abs,1.841736071032635
184,pure_diffusion_prediction_flat,0.0014719999999999967
184,drift_induced_prediction_flat,0.06737932800000014
186,flat_variance,0.07117011264288042
186,sharp_variance,0.0002066809382264576
186,flat_mean_displacement_abs,1.8614598785277712
186,pure_diffusion_prediction_flat,0.0014879999999999967
186,drift_induced_prediction_flat,0.06957392000000015
188,flat_variance,0.07384232696133698
188,sharp_variance,0.00020637061584790278
188,flat_mean_displacement_abs,1.8820770983802941
188,pure_diffusion_prediction_flat,0.0015039999999999967
188,drift_induced_prediction_flat,0.07181600000000014
190,flat_variance,0.07649750178102002
190,sharp_variance,0.00020463174564720724
190,flat_mean_displacement_abs,1.9020989928831906
190,pure_diffusion_prediction_flat,0.0015199999999999966
190,drift_induced_prediction_flat,0.07410608000000016
192,flat_variance,0.07895798646013645
192,sharp_variance,0.00020309926340409982
192,flat_mean_displacement_abs,1.9219794319855057
192,pure_diffusion_prediction_flat,0.0015359999999999966
192,drift_induced_prediction_flat,0.07644467200000016
194,flat_variance,0.08151011108401376
194,sharp_variance,0.00020229534779650382
194,flat_mean_displacement_abs,1.9419110077415929
194,pure_diffusion_prediction_flat,0.0015519999999999965
194,drift_induced_prediction_flat,0.07883228800000017
196,flat_variance,0.08375945685024212
196,sharp_variance,0.00020260785777479783
196,flat_mean_displacement_abs,1.9614799950935855
196,pure_diffusion_prediction_flat,0.0015679999999999965
196,drift_induced_prediction_flat,0.08126944000000018
198,flat_variance,0.0863417899062728
198,sharp_variance,0.0002014063381608157
198,flat_mean_displacement_abs,1.9811180346478967
198,pure_diffusion_prediction_flat,0.0015839999999999964
198,drift_induced_prediction_flat,0.08375664000000017
200,flat_variance,0.08868542973940657
200,sharp_variance,0.00020088000834341048
200,flat_mean_displacement_abs,2.0013988516913073
200,pure_diffusion_prediction_flat,0.0015999999999999964
200,drift_induced_prediction_flat,0.08629440000000017
202,flat_variance,0.09126770470642452
202,sharp_variance,0.00020027559882626223
202,flat_mean_displacement_abs,2.0210716302225253
202,pure_diffusion_prediction_flat,0.0016159999999999963
202,drift_induced_prediction_flat,0.08888323200000019
204,flat_variance,0.09349043517496575
204,sharp_variance,0.00019969479193714487
204,flat_mean_displacement_abs,2.0411655632734704
204,pure_diffusion_prediction_flat,0.0016319999999999963
204,drift_induced_prediction_flat,0.0915236480000002
206,flat_variance,0.09676839512500529
206,sharp_variance,0.0002008706170438699
206,flat_mean_displacement_abs,2.0605226085393578
206,pure_diffusion_prediction_flat,0.0016479999999999963
206,drift_induced_prediction_flat,0.0942161600000002
208,flat_variance,0.09963319044647748
208,sharp_variance,0.0002008107972794305
208,flat_mean_displacement_abs,2.080186912659681
208,pure_diffusion_prediction_flat,0.0016639999999999962
208,drift_induced_prediction_flat,0.0969612800000002
210,flat_variance,0.10336175373818378
210,sharp_variance,0.00020305538198655437
210,flat_mean_displacement_abs,2.1003094785588647
210,pure_diffusion_prediction_flat,0.0016799999999999962
210,drift_induced_prediction_flat,0.0997595200000002
212,flat_variance,0.10692580065588729
212,sharp_variance,0.00020382396593333302
212,flat_mean_displacement_abs,2.120892348915761
212,pure_diffusion_prediction_flat,0.0016959999999999961
212,drift_induced_prediction_flat,0.10261139200000019
214,flat_variance,0.10974530813972662
214,sharp_variance,0.00020496596158712727
214,flat_mean_displacement_abs,2.140665973919834
214,pure_diffusion_prediction_flat,0.001711999999999996
214,drift_induced_prediction_flat,0.10551740800000019
216,flat_variance,0.11304406551962558
216,sharp_variance,0.00020479983856804422
216,flat_mean_displacement_abs,2.1603943662253426
216,pure_diffusion_prediction_flat,0.001727999999999996
216,drift_induced_prediction_flat,0.10847808000000018
218,flat_variance,0.11608688498356987
218,sharp_variance,0.0002037909368276096
218,flat_mean_displacement_abs,2.180055550259334
218,pure_diffusion_prediction_flat,0.001743999999999996
218,drift_induced_prediction_flat,0.11149392000000018
220,flat_variance,0.11989487879186793
220,sharp_variance,0.00020265991382225146
220,flat_mean_displacement_abs,2.199647329181857
220,pure_diffusion_prediction_flat,0.001759999999999996
220,drift_induced_prediction_flat,0.11456544000000017
222,flat_variance,0.12281315296967012
222,sharp_variance,0.00020269918355992136
222,flat_mean_displacement_abs,2.2193859567040874
222,pure_diffusion_prediction_flat,0.001775999999999996
222,drift_induced_prediction_flat,0.11769315200000016
224,flat_variance,0.1260675547224928
224,sharp_variance,0.00020277967475006153
224,flat_mean_displacement_abs,2.239568439590056
224,pure_diffusion_prediction_flat,0.0017919999999999959
224,drift_induced_prediction_flat,0.12087756800000014
226,flat_variance,0.12973291495976194
226,sharp_variance,0.0002029423529570492
226,flat_mean_displacement_abs,2.259585075824171
226,pure_diffusion_prediction_flat,0.0018079999999999958
226,drift_induced_prediction_flat,0.12411920000000012
228,flat_variance,0.13212106643947136
228,sharp_variance,0.00020055445120073642
228,flat_mean_displacement_abs,2.2789637961268223
228,pure_diffusion_prediction_flat,0.0018239999999999958
228,drift_induced_prediction_flat,0.1274185600000001
230,flat_variance,0.13501254589212225
230,sharp_variance,0.0002023272508090616
230,flat_mean_displacement_abs,2.298662570155425
230,pure_diffusion_prediction_flat,0.0018399999999999957
230,drift_induced_prediction_flat,0.13077616000000009
232,flat_variance,0.1384385043870853
232,sharp_variance,0.00020213093980264108
232,flat_mean_displacement_abs,2.3178526912802737
232,pure_diffusion_prediction_flat,0.0018559999999999957
232,drift_induced_prediction_flat,0.13419251200000007
234,flat_variance,0.1422197474942694
234,sharp_variance,0.00020232019523755288
234,flat_mean_displacement_abs,2.3376404265843
234,pure_diffusion_prediction_flat,0.0018719999999999956
234,drift_induced_prediction_flat,0.13766812800000006
236,flat_variance,0.14597403006978876
236,sharp_variance,0.00020139658501562802
236,flat_mean_displacement_abs,2.3573755878002887
236,pure_diffusion_prediction_flat,0.0018879999999999956
236,drift_induced_prediction_flat,0.14120352000000005
238,flat_variance,0.14947931653263752
238,sharp_variance,0.0002017855284730399
238,flat_mean_displacement_abs,2.377873205316626
238,pure_diffusion_prediction_flat,0.0019039999999999955
238,drift_induced_prediction_flat,0.14479920000000004
240,flat_variance,0.1535066803477964
240,sharp_variance,0.00020086083804045268
240,flat_mean_displacement_abs,2.3978698136534393
240,pure_diffusion_prediction_flat,0.0019199999999999955
240,drift_induced_prediction_flat,0.14845568000000003
242,flat_variance,0.15830966864510473
242,sharp_variance,0.0001988554143989262
242,flat_mean_displacement_abs,2.417520956142753
242,pure_diffusion_prediction_flat,0.0019359999999999955
242,drift_induced_prediction_flat,0.152173472
244,flat_variance,0.16165692228578854
244,sharp_variance,0.00019878305971580236
244,flat_mean_displacement_abs,2.4376992669732824
244,pure_diffusion_prediction_flat,0.0019519999999999954
244,drift_induced_prediction_flat,0.15595308799999996
246,flat_variance,0.16566406349511625
246,sharp_variance,0.00020107378842760203
246,flat_mean_displacement_abs,2.4577634525352545
246,pure_diffusion_prediction_flat,0.001967999999999996
246,drift_induced_prediction_flat,0.15979503999999997
248,flat_variance,0.16958310968561058
248,sharp_variance,0.0002008899988592748
248,flat_mean_displacement_abs,2.4770667803549418
248,pure_diffusion_prediction_flat,0.001983999999999996
248,drift_induced_prediction_flat,0.16369983999999993
250,flat_variance,0.17330565244648688
250,sharp_variance,0.00020104685209127178
250,flat_mean_displacement_abs,2.497651795781785
250,pure_diffusion_prediction_flat,0.0019999999999999966
250,drift_induced_prediction_flat,0.16766799999999993
