step,method,mean_x,mean_y,cov_xx,cov_xy,cov_yy,ellipse_width,ellipse_height,ellipse_angle,is_ellipse_step
0,exact_sgd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1
0,standard_langevin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1
0,drift_corrected_langevin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1
1,exact_sgd,-0.0013626576232023983,0.0021075187210890054,7.734102947197361e-06,8.305663693081399e-08,3.1372554020704035e-06,0.005562590453842579,0.003541612745613285,-178.96522020137405,0
1,standard_langevin,-0.0016374166478705804,0.001616528304395342,3.136370584167778e-06,6.666070786175247e-07,2.042124912069967e-06,0.003715714220407344,0.002628202773229955,-154.68884929371737,0
1,drift_corrected_langevin,-0.0009904235441928213,0.0018193804344278344,3.185324821409027e-06,-3.209694937762644e-07,1.5901585492900774e-06,0.0036041564856085216,0.002472243820912988,169.03939155071834,0
2,exact_sgd,-0.0021006206747314943,0.002546820736152594,1.4603178461934603e-05,-1.542335732602664e-06,5.760934252039446e-06,0.0077108969899372,0.004690257825159893,170.3841795128836,1
2,standard_langevin,-0.002817345124012365,0.00309458383804722,4.461453972045509e-06,6.507736328527626e-07,3.9424557211798985e-06,0.004428344591581784,0.0037423793168397546,-145.86994011043257,1
2,drift_corrected_langevin,-0.0015298800829326156,0.003960803953816028,5.003548067232553e-06,-2.768927498878527e-06,4.039632137425779e-06,0.005415588350208439,0.0026161276038679684,139.93697414742417,1
3,exact_sgd,-0.002011696224478299,0.004291771890114672,2.1244585169834953e-05,-6.396657881941979e-06,7.00340381115052e-06,0.009735672642890889,0.004267157615369722,159.0328084296238,0
3,standard_langevin,-0.004274470383897332,0.004968762151164594,4.786871592236742e-06,-5.874968921270325e-07,3.046755052990678e-06,0.004457195774653653,0.0033864306293381096,162.98563049059413,0
3,drift_corrected_langevin,-0.0020775533892835826,0.0060515589162979866,9.801982181825628e-06,-3.874383925957243e-06,5.2550132047244145e-06,0.006934166630714589,0.0034850128670758807,150.20218337175808,0
4,exact_sgd,-0.003783770717403679,0.006241778207535934,2.4330616222500818e-05,-6.232953197948561e-06,1.0515462225265511e-05,0.01033963913559615,0.0056987872689471235,158.969468511493,0
4,standard_langevin,-0.006143993459254214,0.007037701609481531,3.3573359339593875e-06,-8.190182818829808e-07,6.34238240916356e-06,0.005119504988152331,0.003548174467071087,104.37783246620047,0
4,drift_corrected_langevin,-0.002760372366796309,0.009093797296295697,1.519694163670184e-05,-3.5686426757886333e-06,8.886456560781918e-06,0.008198824708576302,0.005395633993144248,155.74087526553942,0
5,exact_sgd,-0.003932813242016445,0.0077969183376298415,2.648099978187285e-05,-1.1356699742900836e-05,1.582469968058479e-05,0.01160987908576541,0.0058680069413504865,147.56713000494872,1
5,standard_langevin,-0.0069356008410235565,0.009830841104438694,4.580266925794688e-06,-3.119617517239489e-06,8.962287323735918e-06,0.006506438006326276,0.0034404187925244473,117.45918379338157,1
5,drift_corrected_langevin,-0.0036792395022223136,0.010931678324798681,1.4429697087664024e-05,-2.8643583251650215e-06,6.5473992251114766e-06,0.007838528499681335,0.004739816052420755,161.99549977087267,1
6,exact_sgd,-0.004900144650348311,0.00906205459889271,3.331774370310496e-05,-7.293994084682139e-06,1.7383285220167677e-05,0.01202536055199855,0.00762855289603,158.76295708400633,0
6,standard_langevin,-0.007253293997777527,0.012136056065266349,1.09083118948224e-05,-3.699914673453617e-06,1.599216554032716e-05,0.008470938217390237,0.005987079042217142,117.75501794355849,0
6,drift_corrected_langevin,-0.004883142288666933,0.012491330148266333,1.6459155019143385e-05,-4.471653713136661e-07,9.364376309176633e-06,0.008120893450123215,0.006111073136939692,176.40774346387732,0
7,exact_sgd,-0.0053905933955259895,0.011142897117551315,4.430008128214761e-05,-1.2298736797664218e-05,2.2355992974456293e-05,0.01411519519986322,0.008208870902637826,155.86851856180238,0
7,standard_langevin,-0.007750889086381575,0.014959769611027593,7.322453511972453e-06,9.864389806587654e-07,1.8436823555606483e-05,0.008607832352896822,0.005379807659641608,84.9672222181873,0
7,drift_corrected_langevin,-0.006919207556057738,0.014586816248784447,1.695866525938714e-05,-1.9949287728083095e-06,1.5135548672468323e-05,0.008541763999205837,0.007444133496203096,147.2787254196947,0
8,exact_sgd,-0.005525978302195741,0.011854345179669434,3.4707274516960594e-05,-1.254375581320268e-05,3.697665654155996e-05,0.013919330168024352,0.009643027113288098,132.415584937853,0
8,standard_langevin,-0.00910843138183097,0.017964269877213102,1.5387688964123457e-05,-1.3552233082010537e-06,2.2831449252328435e-05,0.009606353339613889,0.007784248735767418,100.00387206079745,0
8,drift_corrected_langevin,-0.006931617075100055,0.016257500366498083,1.6479161183871628e-05,5.240630113496025e-07,1.723485030342957e-05,0.008367335866032883,0.008052560863117059,62.89562662501023,0
9,exact_sgd,-0.005280044422751702,0.013030090376945476,5.18831221334282e-05,-1.7171268945246728e-05,6.3991263989156e-05,0.017452157606901674,0.012606337269572035,125.28944424585836,0
9,standard_langevin,-0.00972451308624534,0.02004408548411925,1.1699559075860903e-05,-1.402740796554514e-06,3.188863886865771e-05,0.011311168910890753,0.006812506854849611,93.9555897968881,0
9,drift_corrected_langevin,-0.008246230312154662,0.01842252150648083,1.1954285910519407e-05,2.040546695007796e-06,1.9479951004624897e-05,0.008943740915119236,0.006763611912565603,75.7647315606806,0
10,exact_sgd,-0.0058865780613500075,0.013527321245125096,5.728840440967613e-05,-2.2755664298400798e-05,7.292422374257974e-05,0.018885707344726964,0.01281329663663296,125.51969395146534,1
10,standard_langevin,-0.011417242124668624,0.022039573172017227,1.073186267866342e-05,-3.4691236485879478e-06,2.616618505760772e-05,0.010374984445074075,0.006320750644469021,102.10276061559642,1
10,drift_corrected_langevin,-0.008927124578070008,0.02081263554897728,1.4777574804682074e-05,1.1862004349926693e-06,2.0171791469411755e-05,0.009037945717182383,0.0076231884608502195,78.12994486017007,1
